Kunta,index,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,x,y,Nimi2,Nr
Helsinki,Etelaesplanadi,6.9110198494182065,3.066347469220246,1.551983584131327,0.9187713310580204,1.1085324232081912,6.08781484002723,24.82641252552757,70.99248633879782,148.93643198906358,104.160848733744,61.84109589041096,65.28082191780823,69.59726027397261,69.98629198080877,77.20424948594928,110.69383561643835,158.0150684931507,141.2541095890411,100.87739726027397,72.3582191780822,53.71917808219178,37.76575342465753,23.073237508555785,14.956967213114755,25496931.67,6672704.02,Eteläesplanadi,42
Helsinki,Heperia park/Ooppera,10.639004149377593,4.921161825726141,2.995159059474412,1.8215767634854771,2.412863070539419,9.833333333333334,58.59059474412172,170.201244813278,326.4820193637621,212.6597510373444,106.08298755186722,94.88450899031812,105.27109266943292,105.99654218533887,118.57883817427386,194.21161825726142,311.8222683264177,302.26970954356847,221.60373443983403,158.02973720608574,123.47717842323651,86.84785615491009,46.540802213001385,25.58091286307054,25496176.34,6674240.12,Heperian puisto (Ooppera),43
Helsinki,Huopalahti (station),3.0910683012259192,1.7034120734908136,1.3692038495188101,1.1609798775153106,5.830271216097988,19.809273840769904,88.80227471566054,204.0883639545057,198.22834645669292,72.49956255468067,31.77952755905512,31.549431321084864,32.85389326334208,37.07086614173228,60.06211723534558,135.22134733158356,206.49606299212599,154.82852143482066,91.34470691163605,56.354330708661415,43.353455818022745,28.83639545056868,16.907261592300962,7.043744531933508,25494615.55,6678081.68,Huopalahti (asema),44
Helsinki,Kaisaniemi/Elaintarhanlahti,5.207967589466577,2.5449020931802835,1.3916272788656314,1.2478055367994598,1.6468602295746118,5.75827143821742,33.87373396353815,105.11343686698177,179.08237677245106,108.97569209993247,54.935854152599596,49.540175557056045,52.48345712356516,53.85887913571911,65.48075624577987,116.84132343011478,175.17960837272113,146.18973666441593,99.66171505739365,69.93855503038488,53.284267386900744,35.14247130317353,19.667116812964213,11.49223497636732,25496697.9,6673928.16,Kaisaniemi,45
Helsinki,Kaivokatu,14.756,7.45,4.542,2.774,3.906,11.45,51.716,138.788,276.042,200.644,120.4,130.248,142.48,139.238,155.928,227.726,329.118,303.486,218.536,154.144,121.818,79.546,46.98,30.097804391217565,25496772.5,6673076.97,Kaivokatu,46
Helsinki,"Kapyla, Pohjoisbaana",3.0,1.2667910447761195,0.746268656716418,0.6417910447761194,2.0391061452513966,15.416044776119403,73.12476722532588,146.0167597765363,146.6852886405959,53.940409683426445,26.96461824953445,25.860335195530727,28.100558659217878,29.895716945996277,43.01119402985075,95.04291044776119,147.7070895522388,113.75746268656717,68.56902985074628,45.37686567164179,35.117757009345794,23.53358208955224,12.222014925373134,6.264925373134329,25499610.15,6674731.18,Kulosaaren silta et. sisältää myös pohjoispuolen,47
Helsinki,Kulosaaren silta po. ,7.921190893169878,4.3569553805774275,2.748031496062992,2.694663167104112,6.228346456692913,19.517935258092738,93.18722659667542,191.5695538057743,219.20472440944883,102.8241469816273,54.970253718285214,56.67366579177603,57.75153105861767,59.71041119860018,79.10936132983377,156.31933508311462,219.78652668416447,179.63779527559055,127.85826771653544,94.04811898512686,74.3429571303587,51.811023622047244,27.78040244969379,15.624671916010499,25499598.49,6674835.97,"Kulosaaren silta po. suljettu, tietyö",48
Helsinki,Kulosaari bridge south,0.7880910683012259,0.49081364829396323,0.4015748031496063,0.31758530183727035,0.621172353455818,2.1601049868766404,8.113735783027122,15.969378827646544,20.515310586176728,9.52580927384077,4.860892388451443,5.0979877515310585,5.167979002624672,5.3412073490813645,7.081364829396326,14.36395450568679,21.04636920384952,18.979877515310587,12.5748031496063,8.595800524934383,6.541557305336833,4.351706036745407,2.457567804024497,1.4260717410323709,25492931.19,6674956.03,Kuusisaarentie,49
Helsinki,Kuusisaarentie,2.4868651488616464,1.31583552055993,0.657917760279965,0.5625546806649169,1.3333333333333333,6.769903762029746,45.70778652668417,147.36832895888014,176.51093613298337,84.26509186351706,38.93525809273841,35.56430446194226,36.90113735783027,41.30621172353456,52.505686789151355,109.62817147856518,169.06999125109363,144.16272965879264,91.38670166229221,60.90813648293963,44.822397200349954,27.30533683289589,12.871391076115486,5.879265091863517,25496889.76,6678450.44,Käpylä,50
Helsinki,Lauttasaari bridge north side,3.7236051502145924,1.832618025751073,1.321030042918455,0.8042918454935623,1.3745704467353952,4.891845493562232,30.540772532188843,81.41716738197425,111.58591065292096,57.36512027491409,26.81786941580756,26.309278350515463,27.602233676975946,28.849656357388316,36.493986254295535,68.18384879725086,111.83591065292096,102.7491408934708,69.08934707903781,50.41494845360825,40.08161512027491,27.833333333333332,14.654639175257731,8.329896907216495,25494110.42,6672061.62,Lauttasaaren silta eteläpuoli,51
